time	step	train_loss	lr	acc	smilarity
01-07 17:43	14000	2.7757935523986816	9.050949999999982e-06	0.1373943505463521	0.11231965705370292
01-07 17:44	14400	2.6837239265441895	9.025974999999981e-06	0.13509701493619597	0.1117532770507611
01-07 17:45	14800	2.875260353088379	8.97602499999998e-06	0.12509809049305026	0.10675990992249587
01-07 17:46	15200	2.6914682388305664	8.95104999999998e-06	0.1344042790756771	0.11042517605118263
01-07 17:47	15600	2.5936219692230225	8.926074999999979e-06	0.1362471029103917	0.11119793536953437
01-07 17:47	16000	2.7689208984375	8.90109999999998e-06	0.12614232431587757	0.10306625364300533
01-07 17:48	16400	2.7233381271362305	8.876124999999981e-06	0.1328314457433912	0.10804558679079398
01-07 17:49	16800	2.80322265625	8.85114999999998e-06	0.129436636271296	0.1068957824833118
01-07 17:50	17200	2.699652671813965	8.82617499999998e-06	0.12807178589430174	0.10334540894016243
01-07 17:51	17600	2.681640625	8.776224999999979e-06	0.12291690409588003	0.10436092613217159
01-07 17:52	18000	2.6595983505249023	8.751249999999978e-06	0.12739155472294697	0.10637133611509433
01-07 17:53	18400	2.656126022338867	8.726274999999978e-06	0.12337282080770609	0.10217097043417968
01-07 17:54	18800	2.6635665893554688	8.701299999999977e-06	0.12089734631385785	0.10545860737180099
01-07 17:55	19200	2.681640625	8.676324999999978e-06	0.12754469278885522	0.10346531251875254
01-07 17:56	19600	2.5296630859375	8.65134999999998e-06	0.1179500309851418	0.10019190241702093
01-07 17:56	20000	2.441662311553955	8.626374999999979e-06	0.11876122715382086	0.1007271574762387
01-07 17:57	20400	2.537078380584717	8.60139999999998e-06	0.11762418796691225	0.09865477695488013
01-07 17:58	20800	2.469646453857422	8.551449999999979e-06	0.11610135400416738	0.09974789313780956
01-07 17:59	21200	2.5713372230529785	8.526474999999978e-06	0.11431647674545269	0.09562937939205231
01-07 18:00	21600	2.4772908687591553	8.50149999999998e-06	0.11869276621520168	0.09762707572334853
01-07 18:01	22000	2.370573043823242	8.47652499999998e-06	0.11366209640357233	0.09651221631047054
01-07 18:02	22400	2.484498977661133	8.45154999999998e-06	0.1084938271728031	0.09331730834375589
01-07 18:03	22800	2.48046875	8.42657499999998e-06	0.10349330734634087	0.09108683299750854
01-07 18:04	23200	2.4103517532348633	8.40159999999998e-06	0.11007609926049791	0.09372386584679288
01-07 18:04	23600	2.511458396911621	8.35164999999998e-06	0.1103335047557147	0.0943878632134352
01-07 18:05	24000	2.4928693771362305	8.326674999999979e-06	0.11175931149536475	0.0967977091861077
01-07 18:06	24400	2.4364113807678223	8.301699999999978e-06	0.10919271907178078	0.09227538744035439
01-07 18:07	24800	2.49420166015625	8.27672499999998e-06	0.10505658862189655	0.09194410363068946
01-07 18:08	25200	2.4703001976013184	8.251749999999979e-06	0.11139672007479458	0.09298849449707912
01-07 18:09	25600	2.55682373046875	8.226774999999979e-06	0.11143454408434564	0.09465723207745798
01-07 18:10	26000	2.479290723800659	8.201799999999978e-06	0.10476175416106911	0.09040366848691916
01-07 18:11	26400	2.448777675628662	8.151849999999977e-06	0.10927395561561228	0.09385370625517307
01-07 18:12	26800	2.404265880584717	8.126874999999976e-06	0.10685356394392212	0.09089695967924898
01-07 18:12	27200	2.33984375	8.101899999999976e-06	0.10975791868473947	0.09335830979622325
01-07 18:13	27600	2.3217384815216064	8.076924999999975e-06	0.10201558518591564	0.08870266740902878
01-07 18:14	28000	2.42779541015625	8.051949999999975e-06	0.10066482622014546	0.08729244935779999
01-07 18:15	28400	2.3656005859375	8.026974999999976e-06	0.10372159389841464	0.08947505515355332
01-07 18:16	28800	2.3562371730804443	8.001999999999975e-06	0.10264084658465304	0.08915983646725996
01-07 18:17	29200	2.3121280670166016	7.977024999999976e-06	0.1005724750684723	0.08980848305882552
01-07 18:18	29600	2.333632230758667	7.927074999999979e-06	0.09691069646251724	0.08659416527893299
01-07 18:19	30000	2.3293418884277344	7.902099999999978e-06	0.10057906190373292	0.08895751661979233
01-07 18:20	30400	2.2729077339172363	7.877124999999978e-06	0.10236109882421225	0.09014292959219371
01-07 18:20	30800	2.2412760257720947	7.852149999999979e-06	0.09120004524600145	0.08186624285120228
01-07 18:21	31200	2.2761037349700928	7.827174999999978e-06	0.10125889500977875	0.08968463186652233
