step	train_loss	lr	recall	smilarity
999	4.089055061340332	9.999999999999962e-06	0.1088334742180896	0.09450687551632142
1999	4.033540725708008	9.975002499999961e-06	0.14729501267962805	0.12825261567456608
2999	3.9700822830200195	9.92500749999996e-06	0.1724429416737108	0.15566383980405632
3999	3.861156463623047	9.90000999999996e-06	0.20857988165680466	0.18059112857549614
4999	3.839123249053955	9.850014999999961e-06	0.202451394759087	0.1823151112557986
5999	3.7812349796295166	9.82501749999996e-06	0.20646661031276414	0.19190477264615202
6999	3.7009246349334717	9.800019999999962e-06	0.23253029022259789	0.21020427331901514
7999	3.4666614532470703	9.750024999999961e-06	0.23739081431389122	0.21563253747538114
8999	3.5851035118103027	9.725027499999962e-06	0.25147928994082835	0.23114472532119507
9999	3.795997142791748	9.675032499999963e-06	0.25324034939419554	0.23875076357179728
10999	3.758944034576416	9.650034999999963e-06	0.2697943082558466	0.2477687664138966
11999	3.538257122039795	9.600039999999962e-06	0.31135531135531114	0.2719294098325265
12999	3.608879804611206	9.575042499999961e-06	0.2950831220061988	0.2761123586350524
13999	3.4693069458007812	9.550044999999963e-06	0.3105804451958296	0.28446378253209287
14999	3.496907949447632	9.500049999999963e-06	0.3162158354466046	0.2909463769159255
15999	3.5468692779541016	9.475052499999963e-06	0.3194561848408002	0.29192576719782287
16999	3.277310609817505	9.425057499999964e-06	0.3153705269089882	0.28654678013080215
17999	3.343222141265869	9.400059999999963e-06	0.3273457311918849	0.3059063429633776
18999	3.23276686668396	9.375062499999965e-06	0.33692589461820227	0.3097666850647865
19999	3.354351758956909	9.325067499999964e-06	0.34615384615384603	0.3242492146598987
20999	3.3304548263549805	9.300069999999963e-06	0.3450267681036911	0.3216128410437168
21999	3.3870046138763428	9.250074999999962e-06	0.34749225133840517	0.32508233189582825
22999	3.242886543273926	9.225077499999964e-06	0.3490419836573682	0.3281538709042928
23999	3.3317980766296387	9.175082499999963e-06	0.3253733446041137	0.31456831088050824
24999	3.216916799545288	9.150084999999962e-06	0.36446886446886445	0.33457852680331635
25999	3.296940803527832	9.125087499999962e-06	0.3539729501267962	0.32828396214888644
26999	3.31461763381958	9.075092499999961e-06	0.3720061989292755	0.3383855653496889
27999	3.2649223804473877	9.05009499999996e-06	0.381375035221189	0.3497885192433993
28999	3.2450361251831055	9.00009999999996e-06	0.36799098337559866	0.3399429143621372
