time	step	train_loss	lr	acc	smilarity
01-08 14:59	0	4.142041206359863	1.9990000000000002e-08	0.015865735094138595	0.015738061294914816
01-08 15:01	800	4.077773094177246	8.011989999999973e-06	0.04097623887995369	0.03221157353180342
01-08 15:02	1600	3.9061355590820312	9.975024999999961e-06	0.07377970675039806	0.05546137518607653
01-08 15:04	2400	3.641662359237671	9.95004999999996e-06	0.08711468310395912	0.06618722972388451
01-08 15:06	3200	3.568094253540039	9.92507499999996e-06	0.10389688942250284	0.0800401066453793
01-08 15:08	4000	3.4996466636657715	9.90009999999996e-06	0.12234958927314253	0.09330703470951472
01-08 15:09	4800	3.382068157196045	9.87512499999996e-06	0.1382434152897686	0.10600988404491009
01-08 15:11	5600	3.377656936645508	9.85014999999996e-06	0.1481528173375636	0.11460985157352227
01-08 15:13	6400	3.1456711292266846	9.80019999999996e-06	0.15069590275834024	0.11946599037410358
01-08 15:14	7200	3.218475341796875	9.77522499999996e-06	0.1584011819412559	0.1266277806881147
01-08 15:16	8000	3.295668125152588	9.750249999999961e-06	0.16196007463868062	0.12863867710798213
01-08 15:18	8800	3.2015137672424316	9.725274999999961e-06	0.16114350068572977	0.13076327889202494
01-08 15:19	9600	3.140730857849121	9.70029999999996e-06	0.15750783123626183	0.1281466830808383
01-08 15:21	10400	3.1149086952209473	9.67532499999996e-06	0.1670421487562356	0.13390130874438164
01-08 15:23	11200	3.204728603363037	9.65034999999996e-06	0.1593793462386862	0.1312206182151268
01-08 15:24	12000	2.921018600463867	9.60039999999996e-06	0.16461650418350773	0.13118823569936636
01-08 15:26	12800	2.9968643188476562	9.57542499999996e-06	0.16076625336157468	0.12981158323012865
01-08 15:28	13600	2.926365613937378	9.550449999999959e-06	0.17002985525066322	0.13243811300549743
01-08 15:29	14400	3.07077693939209	9.52547499999996e-06	0.16158601813151477	0.13000797040951562
01-08 15:31	15200	2.931527614593506	9.50049999999996e-06	0.16141619808261526	0.13085894888410204
01-08 15:33	16000	2.7861242294311523	9.475524999999959e-06	0.155178171262692	0.1269546592464814
01-08 15:35	16800	2.818049907684326	9.450549999999958e-06	0.15018847171241673	0.12634509992905146
01-08 15:36	17600	2.75508975982666	9.400599999999959e-06	0.1539415258628344	0.12472252710125385
01-08 15:38	18400	2.7030587196350098	9.37562499999996e-06	0.14127328951462637	0.11668714537070347
01-08 15:40	19200	2.6225099563598633	9.350649999999961e-06	0.1479043394829061	0.12255028043037806
01-08 15:41	20000	2.7368149757385254	9.32567499999996e-06	0.1393962632841519	0.1175396208388683
01-08 15:43	20800	2.6205692291259766	9.30069999999996e-06	0.1405615298586951	0.1181818788441328
01-08 15:45	21600	2.4955296516418457	9.27572499999996e-06	0.13363832815309623	0.1116591503795905
01-08 15:46	22400	2.517932891845703	9.250749999999959e-06	0.13644505542559646	0.11458607309330733
01-08 15:48	23200	2.6500086784362793	9.225774999999958e-06	0.1351926342015377	0.11193494049784465
01-08 15:50	24000	2.474033832550049	9.175824999999957e-06	0.1295988714261843	0.10915798397782521
01-08 15:51	24800	2.4994053840637207	9.150849999999957e-06	0.1261836450559855	0.10806653820551358
01-08 15:53	25600	2.4169507026672363	9.125874999999956e-06	0.12984003731712454	0.10694460981549361
01-08 15:55	26400	2.3883469104766846	9.100899999999957e-06	0.1279778246049621	0.10920340243058327
01-08 15:57	27200	2.4008212089538574	9.075924999999958e-06	0.12476623444780738	0.10530860884449421
01-08 15:58	28000	2.470618486404419	9.05094999999996e-06	0.11888921534776276	0.1045421563470975
01-08 16:00	28800	2.3680012226104736	9.02597499999996e-06	0.11586562204459797	0.10164252076393519
01-08 16:02	29600	2.340290069580078	8.97602499999996e-06	0.11722389742002516	0.10099097594427756
01-08 16:03	30400	2.294936180114746	8.951049999999959e-06	0.11318353453432331	0.0976575266283292
01-08 16:05	31200	2.314675807952881	8.92607499999996e-06	0.10980482794957684	0.09911348078495417
01-08 16:07	32000	2.248821258544922	8.901099999999961e-06	0.11641270125134613	0.10088875254568382
01-08 16:08	32800	2.2936220169067383	8.876124999999962e-06	0.10889162786020876	0.09704724713586844
01-08 16:10	33600	2.1481411457061768	8.851149999999964e-06	0.10822610017899394	0.09780206025028838
01-08 16:12	34400	2.285064697265625	8.826174999999963e-06	0.10428110981353406	0.09498241529441796
01-08 16:13	35200	2.2628469467163086	8.776224999999962e-06	0.10930609894869264	0.0976453049538227
01-08 16:15	36000	2.2076478004455566	8.751249999999961e-06	0.110735096505332	0.09703249446092507
01-08 16:17	36800	2.200745105743408	8.72627499999996e-06	0.10304645801337041	0.09116773283443388
01-08 16:19	37600	2.1562626361846924	8.70129999999996e-06	0.10309198575742966	0.09392508319937269
01-08 16:20	38400	2.1221470832824707	8.676324999999961e-06	0.103476681510449	0.09350948427350096
01-08 16:22	39200	2.2462735176086426	8.651349999999962e-06	0.10517355435973814	0.0942869790089436
01-08 16:24	40000	2.1920177936553955	8.626374999999962e-06	0.10270029654329654	0.09142290547681162
01-08 16:25	40800	2.1885499954223633	8.601399999999963e-06	0.10607800783888034	0.09304112382233141
01-08 16:27	41600	2.1646728515625	8.551449999999962e-06	0.09969583932974282	0.09302721592860347
01-08 16:29	42400	2.1414623260498047	8.526474999999961e-06	0.10648088895753438	0.09398166816204022
01-08 16:30	43200	2.11816143989563	8.501499999999963e-06	0.10450443779622504	0.09485446728574924
01-08 16:32	44000	2.1975326538085938	8.476524999999964e-06	0.10498331741273524	0.09631804104607838
01-08 16:34	44800	2.1512022018432617	8.451549999999963e-06	0.1017519106026994	0.0938918257657534
01-08 16:35	45600	2.18727445602417	8.426574999999963e-06	0.10232671841948744	0.09264172699588996
01-08 16:37	46400	2.142205238342285	8.401599999999964e-06	0.10428201597232392	0.09416625042183277
01-08 16:39	47200	2.148244857788086	8.351649999999963e-06	0.09585011628039071	0.09095672369958499
01-08 16:41	48000	2.1644444465637207	8.326674999999962e-06	0.09845345710631527	0.09156025578387271
01-08 16:42	48800	2.142479419708252	8.301699999999962e-06	0.10590021943394216	0.09404974168118758
01-08 16:44	49600	2.084961414337158	8.276724999999963e-06	0.09474172369600552	0.09094095760240004
01-08 16:46	50400	2.1702213287353516	8.251749999999964e-06	0.10289324894530065	0.09305794933476509
01-08 16:47	51200	2.1037039756774902	8.226774999999963e-06	0.10429868637340214	0.09415617293845385
01-08 16:49	52000	2.1072568893432617	8.201799999999963e-06	0.10288847442761988	0.09532340594495721
01-08 16:51	52800	2.07206392288208	8.151849999999962e-06	0.09627716079417357	0.09193646993774636
01-08 16:52	53600	2.105654716491699	8.126874999999961e-06	0.09754155821967748	0.09189347125207765
01-08 16:54	54400	2.098015308380127	8.10189999999996e-06	0.09989012868733864	0.09317169352792777
01-08 16:56	55200	2.1106667518615723	8.07692499999996e-06	0.10387775333289181	0.09494590348540208
01-08 16:57	56000	2.094788074493408	8.05194999999996e-06	0.10270947697169276	0.09434832121508242
01-08 16:59	56800	2.0735392570495605	8.02697499999996e-06	0.09784366863958006	0.09107644130022098
01-08 17:01	57600	2.1056602001190186	8.00199999999996e-06	0.10129642468767508	0.09408786281561242
01-08 17:03	58400	2.104789972305298	7.977024999999961e-06	0.10030894651807012	0.09334842359217313
01-08 17:04	59200	2.1159605979919434	7.927074999999963e-06	0.10368389477209777	0.09517167771282868
01-08 17:06	60000	2.078939914703369	7.902099999999963e-06	0.09813980430313785	0.09385304229381757
01-08 17:08	60800	2.0038907527923584	7.877124999999962e-06	0.10404399633318653	0.09407699867509879
01-08 17:09	61600	2.088650941848755	7.852149999999963e-06	0.10308280835040207	0.09449661475343583
01-08 17:11	62400	2.05275821685791	7.827174999999963e-06	0.10353088158942358	0.0940880772108451
01-08 17:13	63200	2.0488381385803223	7.802199999999962e-06	0.10346332680959434	0.09436674086520307
01-08 17:14	64000	2.081258773803711	7.777224999999962e-06	0.10085777862214956	0.0945629123598337
01-08 17:16	64800	2.073200225830078	7.727274999999962e-06	0.1010759816084058	0.09341578197498353
01-08 17:18	65600	2.0334272384643555	7.702299999999964e-06	0.1012317102460812	0.09429747936053154
01-08 17:19	66400	2.0318167209625244	7.677324999999965e-06	0.10190070192636015	0.09401761047924176
01-08 17:21	67200	1.972241759300232	7.652349999999964e-06	0.10529654244047941	0.09589329099234863
01-08 17:23	68000	2.028184175491333	7.6273749999999635e-06	0.10169301330272326	0.09454226188170604
01-08 17:24	68800	2.00761079788208	7.602399999999964e-06	0.10166883832568162	0.0943534151197244
01-08 17:26	69600	1.960286021232605	7.577424999999963e-06	0.10330862619257444	0.09613682644871566
01-08 17:28	70400	2.0589075088500977	7.527474999999964e-06	0.10025319546989693	0.09251825076838334
01-08 17:30	71200	2.020353317260742	7.502499999999964e-06	0.10332469936979893	0.09600194276143344
01-08 17:31	72000	2.0398435592651367	7.4775249999999645e-06	0.1060880468395115	0.09579025015521508
01-08 17:33	72800	2.034560203552246	7.452549999999965e-06	0.10047742961137789	0.09469077038841368
01-08 17:35	73600	2.064859628677368	7.427574999999965e-06	0.10227428307153778	0.09589025010474217
01-08 17:36	74400	2.0550246238708496	7.4025999999999645e-06	0.10911508072613395	0.09786346650276428
01-08 17:38	75200	2.0039987564086914	7.377624999999965e-06	0.1044745375775263	0.09716820282240708
01-08 17:40	76000	2.017086982727051	7.352649999999965e-06	0.1042715016097046	0.095327132453139
01-08 17:41	76800	1.9721839427947998	7.302699999999965e-06	0.10026225101505898	0.09430313635713014
01-08 17:43	77600	2.0136208534240723	7.277724999999965e-06	0.1042811543787204	0.09662497420914662
01-08 17:45	78400	1.9714818000793457	7.252749999999965e-06	0.10348357425927726	0.09684642132085103
