step	train_loss	lr	recall	smilarity
999	265498.46875	9.999999999999962e-06	0.09629473091011556	0.08544315837132625
1999	263052.375	9.975002499999961e-06	0.13820794590025348	0.119852848446522
2999	257999.234375	9.92500749999996e-06	0.14799943646097477	0.1415798718539568
3999	263915.6875	9.90000999999996e-06	0.18441814595660738	0.16194246102793095
4999	249344.0	9.850014999999961e-06	0.18223443223443214	0.17483914142044688
5999	249277.9375	9.82501749999996e-06	0.21808960270498728	0.19685415765986994
6999	243057.3125	9.800019999999962e-06	0.2302761341222878	0.2108665481209755
7999	253893.25	9.750024999999961e-06	0.2463369963369964	0.22911277738137123
8999	235373.71875	9.725027499999962e-06	0.24211045364891517	0.23051623164270169
9999	241200.765625	9.675032499999963e-06	0.27106227106227104	0.2568896844601022
10999	235561.28125	9.650034999999963e-06	0.28578472809242034	0.26200097675124795
11999	228673.015625	9.600039999999962e-06	0.29360383206537055	0.27501287805632907
12999	227604.3125	9.575042499999961e-06	0.29994364609749224	0.27783521560904306
13999	235365.59375	9.550044999999963e-06	0.31177796562411925	0.2885390838178304
14999	216469.34375	9.500049999999963e-06	0.32375316990701586	0.3016640822856853
15999	216840.53125	9.475052499999963e-06	0.3245984784446323	0.30390405912811935
16999	223467.6875	9.425057499999964e-06	0.3270639616793462	0.3054261166506853
17999	225238.03125	9.400059999999963e-06	0.3223443223443222	0.31038724965392017
18999	216889.8125	9.375062499999965e-06	0.33565793181177755	0.313786104034919
19999	224388.125	9.325067499999964e-06	0.3503099464637923	0.32250605494930196
20999	472112.0	9.300069999999963e-06	0.3312200619892928	0.30994019437676823
21999	446665.4375	9.250074999999962e-06	0.3439701324316707	0.325636572849292
22999	441168.0	9.225077499999964e-06	0.343688362919132	0.322784580863439
23999	429744.25	9.175082499999963e-06	0.34636517328825006	0.32445369813686764
24999	437449.4375	9.150084999999962e-06	0.3584812623274162	0.3371052957880191
25999	429716.625	9.125087499999962e-06	0.36792054099746385	0.33648610124603295
26999	418288.0	9.075092499999961e-06	0.36939983093829243	0.342550585189691
27999	398804.625	9.05009499999996e-06	0.34798534798534764	0.3307341311413508
28999	416637.96875	9.00009999999996e-06	0.3784868977176668	0.3449016715853642
29999	412200.625	8.97510249999996e-06	0.35989010989011	0.3422295786440373
30999	420400.0	8.925107499999958e-06	0.3561566638489714	0.33869503925626077
31999	402564.125	8.90010999999996e-06	0.37109044801352487	0.350405709292644
32999	406544.5	8.875112499999961e-06	0.36785009861932905	0.3486000309005761
33999	390613.3125	8.82511749999996e-06	0.35679064525218346	0.3383875072766573
34999	406658.1875	8.80011999999996e-06	0.3612989574528033	0.3444740732128803
35999	399847.21875	8.75012499999996e-06	0.37341504649196944	0.34958865073246836
36999	404448.0	8.72512749999996e-06	0.3849675965060579	0.3585902922428571
37999	391712.0	8.70012999999996e-06	0.3885601577909268	0.3592695613893179
38999	411472.0	8.650134999999959e-06	0.3741194702733165	0.3480485566915609
39999	421753.6875	8.625137499999958e-06	0.37573964497041407	0.3579618336680608
40999	825679.75	8.575142499999958e-06	0.3609467455621302	0.33464128829729856
41999	810522.0	8.550144999999959e-06	0.3913778529163142	0.35976140602276874
42999	802799.5	8.50014999999996e-06	0.38961679346294714	0.36063964454791486
43999	784615.25	8.47515249999996e-06	0.38285432516201745	0.36127656698226934
44999	817444.625	8.450154999999959e-06	0.397717666948436	0.36894940651762187
45999	781815.875	8.400159999999958e-06	0.36489151873767256	0.34710460996780645
46999	793551.25	8.375162499999957e-06	0.36503240349394184	0.35090294289283264
47999	755451.9375	8.325167499999958e-06	0.3741899126514509	0.34984864332737065
48999	779532.625	8.30016999999996e-06	0.380247957171034	0.3530190049264675
49999	766506.0	8.250174999999959e-06	0.3786982248520708	0.36114186831773853
50999	768308.8125	8.225177499999958e-06	0.3915187376725839	0.35463966897282856
51999	732143.75	8.200179999999958e-06	0.38785573400958	0.36192758687031573
52999	744984.375	8.150184999999957e-06	0.36679346294730886	0.34988173899742275
53999	785321.25	8.125187499999957e-06	0.38553113553113544	0.36464637212264234
54999	763205.125	8.075192499999956e-06	0.36552550014088464	0.35041988220734477
55999	789101.125	8.050194999999955e-06	0.36792054099746396	0.35349892118038284
56999	754805.5	8.025197499999955e-06	0.3634122287968441	0.34639137352888394
57999	763648.0	7.975202499999957e-06	0.37559876021414473	0.3535298209350843
58999	778126.25	7.950204999999959e-06	0.36601859678782755	0.3471820600903952
59999	728146.625	7.90020999999996e-06	0.359397013243167	0.34220542472142446
60999	1432928.5	7.875212499999959e-06	0.37334460411383497	0.3508340733555647
61999	1459926.75	7.82521749999996e-06	0.36594815440969275	0.34180945177108807
62999	1501357.5	7.800219999999961e-06	0.35601577909270204	0.33941191902909523
63999	1424669.375	7.77522249999996e-06	0.3620033812341504	0.34456822237907314
64999	1461578.25	7.72522749999996e-06	0.38116370808678485	0.3485302696816432
65999	1439419.0	7.70022999999996e-06	0.3510143702451395	0.33125327298274393
66999	1484095.0	7.650234999999958e-06	0.3467173851789235	0.33787708691297436
67999	1388896.0	7.625237499999958e-06	0.3593970132431669	0.3413011439335652
68999	1369361.0	7.575242499999959e-06	0.36334178641870934	0.3452712922142103
69999	1396501.0	7.550244999999959e-06	0.3508030431107353	0.33450360696476233
70999	1376223.0	7.52524749999996e-06	0.33974358974358976	0.33142343965860505
71999	1373613.375	7.4752524999999605e-06	0.3397435897435896	0.3324026670784522
72999	1380192.0	7.450254999999961e-06	0.3555226824457592	0.33945918417511844
73999	1415200.0	7.400259999999961e-06	0.3465765004226542	0.3304575033103809
74999	1372886.75	7.375262499999961e-06	0.3472809242040012	0.3344696318873993
75999	1369071.75	7.350264999999962e-06	0.3523527754296985	0.3314079056756619
76999	1322130.25	7.3002699999999625e-06	0.3491124260355029	0.3338165644269724
77999	1362277.625	7.275272499999963e-06	0.345238095238095	0.3318640757829715
78999	1328524.375	7.225277499999964e-06	0.34087066779374464	0.3321627178826392
79999	1389468.875	7.200279999999964e-06	0.36059453367145666	0.3381475508213044
80999	2782505.5	7.150284999999964e-06	0.3363623555931245	0.3286217313546401
81999	2693867.75	7.125287499999964e-06	0.3170611439842208	0.3131658834142563
82999	2759598.75	7.100289999999964e-06	0.3193857424626653	0.31998909809268444
83999	2679174.0	7.050294999999964e-06	0.3150887573964495	0.31132636782832623
84999	2681470.0	7.025297499999964e-06	0.32121724429416726	0.3085228229562441
85999	2662530.0	6.975302499999964e-06	0.3348830656522963	0.3246214385025012
86999	2607607.5	6.950304999999964e-06	0.3361510284587205	0.31819726182864255
87999	1360213.25	6.9253074999999645e-06	0.3176246830092982	0.3040187146801214
88999	2638562.5	6.875312499999965e-06	0.3229783037475345	0.3138922000160584
89999	2575444.0	6.850314999999966e-06	0.3174837982530291	0.3071769155944006
90999	2455239.5	6.800319999999966e-06	0.3114961961115807	0.30892502000698674
91999	2576124.0	6.775322499999966e-06	0.3050154973231895	0.30115281351101697
92999	2459816.0	6.725327499999965e-06	0.3310791772330233	0.31438925270086676
93999	2509417.5	6.700329999999966e-06	0.3098760214144827	0.30298763265212375
94999	2522263.0	6.675332499999966e-06	0.3331220061989291	0.31312942084593653
95999	2477089.0	6.625337499999966e-06	0.33382642998027595	0.30940175343018317
96999	2579904.0	6.6003399999999665e-06	0.3191039729501267	0.3088570613509569
97999	2546985.25	6.550344999999967e-06	0.32544378698224835	0.3163698317530829
98999	2424346.0	6.525347499999967e-06	0.32917723302338675	0.3088325877220202
99999	2470603.25	6.475352499999967e-06	0.32100591715976323	0.3146455125548901
100999	4946277.5	6.450354999999967e-06	0.31452521837137226	0.2988396218189826
101999	5086582.0	6.425357499999967e-06	0.2988165680473373	0.2911986177548384
102999	4867501.5	6.375362499999968e-06	0.30402930402930384	0.29672862455630916
103999	5039665.5	6.350364999999968e-06	0.299098337559876	0.29562707617878903
104999	4740657.5	6.300369999999968e-06	0.31248238940546624	0.30355265641059626
105999	5010684.0	6.2753724999999685e-06	0.31910397295012655	0.30839474881306667
106999	4793377.0	6.250374999999968e-06	0.311143984220907	0.3004274580341119
107999	4684732.0	6.200379999999967e-06	0.3050859397013243	0.29685292316552925
108999	4956940.0	6.175382499999968e-06	0.30987602141448284	0.2996765551849819
109999	4907528.0	6.1253874999999685e-06	0.2995914342068185	0.29060274983445805
110999	4700681.0	6.100389999999969e-06	0.3023386869540715	0.29140944415942216
111999	4640256.0	6.05039499999997e-06	0.3157227387996617	0.29977243852156843
112999	4567241.5	6.025397499999969e-06	0.30395886165116914	0.29175836946337647
113999	4566970.5	6.00039999999997e-06	0.30008453085376163	0.29131262964354104
114999	4741979.0	5.9504049999999705e-06	0.30184559030712865	0.28878386882253193
115999	4689181.0	5.92540749999997e-06	0.30656522964215266	0.3014211000349276
116999	4651074.0	5.875412499999971e-06	0.2990983375598758	0.2858494854508303
117999	4696702.0	5.850414999999971e-06	0.29311073541842747	0.28654606439746344
118999	4762283.0	5.8004199999999705e-06	0.28979994364609735	0.2840157687090911
119999	4699392.0	5.775422499999971e-06	0.28599605522682453	0.27823718675436115
120999	9522864.0	5.7504249999999704e-06	0.3153705269089884	0.29857995418401856
