time	step	train_loss	lr	acc	smilarity
01-08 03:38	0	4.130138874053955	2.998e-08	0.01606618049019328	0.01567949845383947
01-08 03:39	400	4.077971935272217	8.02198e-06	0.033367805889799484	0.024323780949299153
01-08 03:40	800	3.9625604152679443	9.975024999999987e-06	0.05682826879448361	0.04505721448610226
01-08 03:41	1200	3.857107639312744	9.950049999999986e-06	0.07013726943533605	0.05697846541611048
01-08 03:42	1600	3.873228073120117	9.925074999999986e-06	0.08127131071963846	0.06373525859835823
01-08 03:43	2000	3.607597827911377	9.900099999999985e-06	0.08630319260362529	0.07051995267661718
01-08 03:44	2400	3.60986065864563	9.875124999999985e-06	0.10395621751928079	0.07997259115561461
01-08 03:45	2800	3.614562511444092	9.850149999999984e-06	0.11292285790406939	0.08710975219041875
01-08 03:46	3200	3.478353977203369	9.800199999999985e-06	0.12774929130778853	0.09712228470314771
01-08 03:47	3600	3.6777403354644775	9.775224999999984e-06	0.12425174120463495	0.10027147972813018
01-08 03:48	4000	3.423333168029785	9.750249999999985e-06	0.13099961163328416	0.10407749057198182
01-08 03:49	4400	3.276906728744507	9.725274999999985e-06	0.13929413750159733	0.10950473495400868
01-08 03:50	4800	3.2222940921783447	9.700299999999984e-06	0.1423573671318929	0.11275127090704747
01-08 03:52	5200	3.2291393280029297	9.675324999999983e-06	0.1459502094372406	0.1146366712756646
01-08 03:53	5600	3.181184768676758	9.650349999999983e-06	0.1548237649813553	0.12189205984274547
01-08 03:54	6000	3.4831578731536865	9.600399999999984e-06	0.15161464051273355	0.12246857831875484
01-08 03:55	6400	3.2800116539001465	9.575424999999983e-06	0.14799774509220973	0.11698072881270678
01-08 03:56	6800	3.1530723571777344	9.550449999999982e-06	0.15733937155856048	0.12650711996815148
01-08 03:57	7200	3.2845582962036133	9.525474999999984e-06	0.1530873806881695	0.12371209120521179
01-08 03:58	7600	3.2354633808135986	9.500499999999983e-06	0.15600634374601688	0.12497871521955882
01-08 03:59	8000	3.2247800827026367	9.475524999999982e-06	0.15491775598081917	0.12501072071683714
01-08 04:00	8400	3.144254207611084	9.450549999999982e-06	0.15055305648090006	0.12294940430766498
01-08 04:01	8800	3.135133743286133	9.400599999999982e-06	0.15271336874618996	0.12181105646185386
01-08 04:02	9200	3.1359288692474365	9.375624999999984e-06	0.15737566574849293	0.1284226053991379
01-08 04:03	9600	2.990856647491455	9.350649999999985e-06	0.15448906859787712	0.1276505428055922
01-08 04:04	10000	3.0137438774108887	9.325674999999984e-06	0.15239376208446712	0.12624290872078678
01-08 04:05	10400	3.209036350250244	9.300699999999984e-06	0.1464428957009873	0.11955082951447903
01-08 04:06	10800	2.970062017440796	9.275724999999983e-06	0.15374309798564148	0.12407979693932407
01-08 04:07	11200	2.971339702606201	9.250749999999983e-06	0.1430545036157321	0.11833112629560325
01-08 04:08	11600	2.8945722579956055	9.225774999999982e-06	0.14872165014622613	0.1231163583504848
01-08 04:09	12000	2.8406898975372314	9.175824999999981e-06	0.14387263709842588	0.12042494013141362
01-08 04:10	12400	2.9208197593688965	9.15084999999998e-06	0.14391848258974638	0.11787087346116702
01-08 04:11	12800	2.9641177654266357	9.12587499999998e-06	0.1397049869762901	0.11588694909826303
01-08 04:12	13200	2.7266383171081543	9.10089999999998e-06	0.1374132610404433	0.11328898570858516
01-08 04:13	13600	2.8133490085601807	9.07592499999998e-06	0.13318175807031724	0.10917528279316731
01-08 04:15	14000	2.7663776874542236	9.050949999999982e-06	0.13644018019563003	0.11346554517363891
01-08 04:16	14400	2.653229236602783	9.025974999999981e-06	0.14020560559143336	0.11345843240045585
01-08 04:17	14800	2.8185958862304688	8.97602499999998e-06	0.14187395974280181	0.11332418559453426
01-08 04:18	15200	2.6766629219055176	8.95104999999998e-06	0.13751662533233042	0.11040372449236038
01-08 04:19	15600	2.634829521179199	8.926074999999979e-06	0.13406775224640766	0.1109033774297971
01-08 04:20	16000	2.745004177093506	8.90109999999998e-06	0.1269027844046462	0.10486115658512482
01-08 04:21	16400	2.671915054321289	8.876124999999981e-06	0.12840741814669415	0.1081890670152811
01-08 04:22	16800	2.783135414123535	8.85114999999998e-06	0.12941754172550282	0.10516101432343324
01-08 04:23	17200	2.6411547660827637	8.82617499999998e-06	0.1263038403850464	0.10284312346424812
01-08 04:24	17600	2.688126564025879	8.776224999999979e-06	0.12590535913437068	0.10249703831206529
01-08 04:25	18000	2.69680118560791	8.751249999999978e-06	0.1161907072028782	0.0982902800807586
01-08 04:26	18400	2.6715173721313477	8.726274999999978e-06	0.11195037428310979	0.09579447566125636
01-08 04:27	18800	2.645280599594116	8.701299999999977e-06	0.12149559239731822	0.10059823783544392
01-08 04:28	19200	2.673978805541992	8.676324999999978e-06	0.12236716583301065	0.10082665181312805
01-08 04:29	19600	2.595816135406494	8.65134999999998e-06	0.11808667968030537	0.10075144617794415
01-08 04:30	20000	2.5172934532165527	8.626374999999979e-06	0.12064179770140725	0.1002987921237946
01-08 04:31	20400	2.5013768672943115	8.60139999999998e-06	0.12080303454576423	0.1005181354494431
01-08 04:32	20800	2.4913978576660156	8.551449999999979e-06	0.11431682722420665	0.09884663656927072
01-08 04:33	21200	2.591604232788086	8.526474999999978e-06	0.10776117550856079	0.0942941826218978
01-08 04:34	21600	2.442080497741699	8.50149999999998e-06	0.12017083885438083	0.10101942784893207
01-08 04:35	22000	2.3569297790527344	8.47652499999998e-06	0.11319701411841218	0.09530041725016557
01-08 04:36	22400	2.5028605461120605	8.45154999999998e-06	0.1102031515855256	0.09279780381191999
01-08 04:37	22800	2.456037998199463	8.42657499999998e-06	0.10424306020846313	0.0910703173528115
01-08 04:39	23200	2.3710155487060547	8.40159999999998e-06	0.11461816820224704	0.09424014862340231
01-08 04:40	23600	2.4659759998321533	8.35164999999998e-06	0.10529594219525712	0.09164874274761246
01-08 04:41	24000	2.468569755554199	8.326674999999979e-06	0.1091077126153176	0.09449867464793033
01-08 04:42	24400	2.4623236656188965	8.301699999999978e-06	0.11036883890578437	0.09297623714575401
01-08 04:43	24800	2.486941337585449	8.27672499999998e-06	0.1044501931520641	0.09173442743336545
01-08 04:44	25200	2.411250591278076	8.251749999999979e-06	0.11186011794697763	0.09741384602892095
01-08 04:45	25600	2.4733572006225586	8.226774999999979e-06	0.10156743465021496	0.09049519141897178
01-08 04:46	26000	2.376636028289795	8.201799999999978e-06	0.11096733173434455	0.09216515824962886
01-08 04:47	26400	2.42852783203125	8.151849999999977e-06	0.10269745620506117	0.08993211813653126
01-08 04:48	26800	2.368281364440918	8.126874999999976e-06	0.09853355257995065	0.08814043102738185
01-08 04:49	27200	2.356741189956665	8.101899999999976e-06	0.10649200356537605	0.09138687160343695
01-08 04:50	27600	2.3694210052490234	8.076924999999975e-06	0.10445889821847221	0.08967544883489606
01-08 04:51	28000	2.4504504203796387	8.051949999999975e-06	0.09828803994676269	0.08701845993980384
01-08 04:52	28400	2.388164520263672	8.026974999999976e-06	0.1046873066324116	0.0885794202868755
01-08 04:53	28800	2.264275074005127	8.001999999999975e-06	0.09686007343214736	0.08543237403799327
01-08 04:54	29200	2.280428647994995	7.977024999999976e-06	0.10048462827377372	0.08712792568481886
01-08 04:55	29600	2.2711408138275146	7.927074999999979e-06	0.10357142105397585	0.08836160141688128
01-08 04:56	30000	2.3287434577941895	7.902099999999978e-06	0.09594359918637364	0.08472632029308722
01-08 04:57	30400	2.2846293449401855	7.877124999999978e-06	0.10398136436987869	0.0881837296944398
01-08 04:58	30800	2.3141486644744873	7.852149999999979e-06	0.09609334425537928	0.08738746794943626
01-08 04:59	31200	2.327488422393799	7.827174999999978e-06	0.09713402444520823	0.08640922648975481
01-08 05:00	31600	2.3104820251464844	7.802199999999978e-06	0.10333056107660307	0.08809101624557605
01-08 05:02	32000	2.2558414936065674	7.777224999999977e-06	0.09204501301363867	0.08233556743615712
01-08 05:03	32400	2.2344937324523926	7.727274999999978e-06	0.09397167579764534	0.08582050639849444
01-08 05:04	32800	2.224280595779419	7.702299999999977e-06	0.09726855490922438	0.08454557021076861
01-08 05:05	33200	2.277174472808838	7.677324999999978e-06	0.09566973730368558	0.08487738735782795
01-08 05:06	33600	2.3083481788635254	7.652349999999978e-06	0.09807358345753173	0.08727730992130744
01-08 05:07	34000	2.278057098388672	7.627374999999977e-06	0.0922890638080008	0.08198880165433274
